submitted_on,course_code_title,section,semester_hours,course_coordinator,academic_year_semester,instructor_name,grade_A,grade_A-,grade_B+,grade_B,grade_B-,grade_C+,grade_C,grade_C-,grade_D+,grade_D,grade_F,grade_I,grade_NP,grade_P,grade_W,grade_Total,PC5.1_method,PC5.1_n,PC5.1_avg,PC5.1_pct,PC5.1_standard,PC5.2_method,PC5.2_n,PC5.2_avg,PC5.2_pct,PC5.2_standard,PC5.3_method,PC5.3_n,PC5.3_avg,PC5.3_pct,PC5.3_standard,PC5.4_method,PC5.4_n,PC5.4_avg,PC5.4_pct,PC5.4_standard,PC5.5_method,PC5.5_n,PC5.5_avg,PC5.5_pct,PC5.5_standard,PC5.6_method,PC5.6_n,PC5.6_avg,PC5.6_pct,PC5.6_standard,PC5.7_method,PC5.7_n,PC5.7_avg,PC5.7_pct,PC5.7_standard,strengths_weaknesses,suggestions_improvement,teaching_strategies,course_content,resources_facilities,instructor_reflection,attachments,fcar_id,dept_id,course_id,term,cd_teaching_strategies_strengths,cd_teaching_strategies_suggestions,cd_course_content_strengths,cd_course_content_suggestions,cd_resources_facilities_strengths,cd_resources_facilities_suggestions,cd_assessment_measures_strengths,cd_assessment_measures_suggestions,pcs_json
2025-09-18,course,1.0,2,judy,25,judy,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Scoring Rubrics,53.0,3.12,100.0,> 3,Scoring Rubrics,51.0,3.2,100.0,> 3,Scoring Rubrics,51.0,3.28,100.0,> 3,Scoring Rubrics,51.0,3.4,100.0,> 3,Scoring Rubrics,51.0,3.2,100.0,> 3,Scoring Rubrics,51.0,3.2,100.0,> 3,Scoring Rubrics,51.0,3.2,100.0,> 3,good,bad,ok,very lovely,need desks,good course,,,,,,,,,,,,,,
2025-09-18,course,1.0,2,judy,25,judy,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Scoring Rubrics,53.0,3.12,100.0,> 3,Scoring Rubrics,51.0,3.2,100.0,> 3,Scoring Rubrics,51.0,3.28,100.0,> 3,Scoring Rubrics,51.0,3.4,100.0,> 3,Scoring Rubrics,51.0,3.2,100.0,> 3,Scoring Rubrics,51.0,3.2,100.0,> 3,Scoring Rubrics,51.0,3.2,100.0,> 3,good,bad,ok,very lovely,need desks,good course,1.1-1.2-1.3-1.4 MTH307-Chadi Nour-Sp20 FCAR Form.docx,,,,,,,,,,,,,
2025-10-14,CSC322 – Computer Organization Lab,,1,Haidar Harmanani,Spring 2021,Haidar Harmanani,17.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,1.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I like the course and what we do in it. The assessment through a Tiny CPU is an interesting exercise to the students that teaches them a lot.,,-CSC322-N/A-Spring_2021-20251014133011,,CSC322,Spring 2021,"Lectures were effective, but hands-on labs were not due to online delivery.",Proposed Improvement Actions: Lab was taught online. The students did all the labs online but no hardware was used.,The course used a bit of Python in addition to C. We also used a new device.,,Resources were satisfactory as additional boards were purchased.,,Students were frustrated due to the online delivery and the lack of usage of actual devices.,,"[{""code"": ""PC2.2"", ""title"": ""Students shall demonstrate the ability to design, implement, and simulate, a computer model based on an instruction set given a set of constraints"", ""method"": ""Embedded Assessment"", ""students"": 26, ""avg"": 75.98, ""pct"": 63, ""standard"": ""75% or equiv.""}]"
2025-10-14,CSC310 Algorithms & Data Structures,,3cr.,Dr. Faisal Abu Khzam,Fall 2019,Danielle Azar,0.0,1.0,0.0,3.0,2.0,4.0,4.0,1.0,3.0,0.0,3.0,0.0,,,0.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Students regularly seem to have issues with Dynamic Programming, and they find it hard. I recommend additional labs covering this topic. The issue of labs as well as the unrest in the country did not help the assessment results. I believe the assessment result is highly affected by the ups and downs that surrounded students. The topic is difficult and requires concentration and a lot of exercise which, obviously, students could not do and have this year.",,-310--Fall_2019-20251014133438,,310,Fall 2019,,,,"PC1.5: Students are finding Dynamic Programming hard. More labs covering this topic should be provided. PC1.6: The situation in the country did not allow to cover this topic in-depth. I believe the score is highly affected by the ups and downs that surrounded students. The topic is difficult and requires concentration and a lot of exercise which, obviously, students could not do and have this year.",,,,,"[{""code"": ""PC1.5"", ""title"": ""Students shall demonstrate an understanding of divide and conquer, greedy technique, and dynamic programming technique."", ""method"": ""Embedded Assessment"", ""students"": 22, ""avg"": 67.7, ""pct"": 62, ""standard"": ""70%""}, {""code"": ""PC1.6"", ""title"": ""Students will be able to demonstrate an understanding of P, NP and NP-complete classes and carry out some polynomial-time problem reductions."", ""method"": ""Embedded Assessment"", ""students"": 22, ""avg"": 60.0, ""pct"": 50, ""standard"": ""65%""}, {""code"": ""PC1.7"", ""title"": ""Students shall demonstrate an ability to analyze algorithms using asymptotic notations."", ""method"": ""Embedded Assessment"", ""students"": 22, ""avg"": 88.7, ""pct"": 91, ""standard"": ""70%""}]"
2025-10-14,CSC310 Algorithms & Data Structures,,3cr.,Dr. Faisal Abu Khzam,Fall 2019,Danielle Azar,0.0,1.0,0.0,3.0,2.0,4.0,4.0,1.0,3.0,0.0,3.0,0.0,,,0.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Students regularly seem to have issues with Dynamic Programming, and they find it hard. I recommend additional labs covering this topic. The issue of labs as well as the unrest in the country did not help the assessment results.",,-310--Fall_2019-20251014133724,,310,Fall 2019,,,PC1.6: The situation in the country did not allow to cover this topic in-depth.,PC1.5: More labs covering this topic should be provided.,,,,,"[{""code"": ""PC1.5"", ""title"": ""Students shall demonstrate an understanding of divide and conquer, greedy technique, and dynamic programming technique."", ""method"": ""Embedded Assessment"", ""students"": 22, ""avg"": 67.7, ""pct"": 62, ""standard"": ""70%""}, {""code"": ""PC1.6"", ""title"": ""Students will be able to demonstrate an understanding of P, NP and NP-complete classes and carry out some polynomial-time problem reductions."", ""method"": ""Embedded Assessment"", ""students"": 22, ""avg"": 60.0, ""pct"": 50, ""standard"": ""65%""}, {""code"": ""PC1.7"", ""title"": ""Students shall demonstrate an ability to analyze algorithms using asymptotic notations."", ""method"": ""Embedded Assessment"", ""students"": 22, ""avg"": 88.7, ""pct"": 91, ""standard"": ""70%""}]"
2025-10-14,CSC310 Algorithms & Data Structures,,3cr.,Dr. Faisal Abu Khzam,Fall 2019,Danielle Azar,0.0,1.0,0.0,3.0,2.0,4.0,4.0,1.0,3.0,0.0,3.0,0.0,,,0.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Students regularly seem to have issues with Dynamic Programming, and they find it hard. I recommend additional labs covering this topic. The issue of labs as well as the unrest in the country did not help the assessment results. I believe the assessment result is highly affected by the ups and downs that surrounded students. The topic is difficult and requires concentration and a lot of exercise which, obviously, students could not do and have this year.",,-310--Fall_2019-20251014134212,,310,Fall 2019,,,,"PC1.5: Students are finding Dynamic Programming hard. More labs covering this topic should be provided. PC1.6: The situation in the country did not allow to cover this topic in-depth. I believe the score is highly affected by the ups and downs that surrounded students. The topic is difficult and requires concentration and a lot of exercise which, obviously, students could not do and have this year.",,,,,"[{""code"": ""PC1.5"", ""title"": ""Students shall demonstrate an understanding of divide and conquer, greedy technique, and dynamic programming technique."", ""method"": ""Embedded Assessment"", ""students"": 22, ""avg"": 67.7, ""pct"": 62, ""standard"": ""70%""}, {""code"": ""PC1.6"", ""title"": ""Students will be able to demonstrate an understanding of P, NP and NP-complete classes and carry out some polynomial-time problem reductions."", ""method"": ""Embedded Assessment"", ""students"": 22, ""avg"": 60.0, ""pct"": 50, ""standard"": ""65%""}, {""code"": ""PC1.7"", ""title"": ""Students shall demonstrate an ability to analyze algorithms using asymptotic notations."", ""method"": ""Embedded Assessment"", ""students"": 22, ""avg"": 88.7, ""pct"": 91, ""standard"": ""70%""}]"
2025-10-14,CSC322 – Computer Organization Lab,,1,Haidar Harmanani,Spring 2021,Haidar Harmanani,17.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,1.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I like the course and what we do in it. The assessment through a Tiny CPU is an interesting exercise to the students that teaches them a lot.,,-CSC322-N/A-Spring_2021-20251014135304,,CSC322,Spring 2021,"Lectures were effective, but hands-on labs were not due to online delivery.",Proposed Improvement Actions: Lab was taught online. The students did all the labs online but no hardware was used.,The course used a bit of Python in addition to C. We also used a new device.,,Resources were satisfactory as additional boards were purchased.,,Students were frustrated due to the online delivery and the lack of usage of actual devices.,,"[{""code"": ""PC2.2"", ""title"": ""Students shall demonstrate the ability to design, implement, and simulate, a computer model based on an instruction set given a set of constraints"", ""method"": ""Embedded Assessment"", ""students"": 26, ""avg"": 75.98, ""pct"": 63, ""standard"": ""75% or equiv.""}]"
2025-10-14,,,,,,,17.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,1.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,----20251014135739,,,,,,,,,,,,"[{""code"": ""PC2.2"", ""title"": ""Students shall demonstrate the ability to design, implement, and simulate, a computer model based on an instruction set given a set of constraints"", ""method"": ""Embedded Assessment"", ""students"": 26, ""avg"": 75.98, ""pct"": 63, ""standard"": ""75% or equiv.""}]"
2025-10-14,CSC322 – Computer Organization Lab,,1,Haidar Harmanani,Spring 2021,Haidar Harmanani,17.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,1.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I like the course and what we do in it. The assessment through a Tiny CPU is an interesting exercise to the students that teaches them a lot.,,-CSC322-N/A-Spring_2021-20251014140102,,CSC322,Spring 2021,"Lectures were effective, but hands-on labs were not due to online delivery.",Proposed Improvement Actions: Lab was taught online. The students did all the labs online but no hardware was used.,The course used a bit of Python in addition to C. We also used a new device.,,Resources were satisfactory as additional boards were purchased.,,Students were frustrated due to the online delivery and the lack of usage of actual devices.,,"[{""code"": ""PC2.2"", ""title"": ""Students shall demonstrate the ability to design, implement, and simulate, a computer model based on an instruction set given a set of constraints"", ""method"": ""Embedded Assessment"", ""students"": 26, ""avg"": 75.98, ""pct"": 63, ""standard"": ""75% or equiv.""}]"
2025-10-14,,,,,,,,,,3.0,1.0,,,,,,,,,,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,----20251014140231,,,,,,,,,,,,"[{""code"": ""e.g PC5.1"", ""title"": ""e.g Apply project management principles"", ""method"": ""e.g Scoring Rubrics"", ""students"": 10.0, ""avg"": 0.0, ""pct"": 0.0, ""standard"": ""> 3""}, {""code"": ""pc5.4"", ""title"": ""yes"", ""method"": ""test"", ""students"": 0.0, ""avg"": 0.0, ""pct"": 0.0, ""standard"": """"}]"
2025-10-14,,,,,,,,,,3.0,1.0,,,,,,,,,,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,----20251014140404,,,,,,,,,,,,"[{""code"": ""e.g PC5.1"", ""title"": ""e.g Apply project management principles"", ""method"": ""e.g Scoring Rubrics"", ""students"": 10.0, ""avg"": 0.0, ""pct"": 0.0, ""standard"": ""> 3""}, {""code"": ""pc5.4"", ""title"": ""yes"", ""method"": ""test"", ""students"": 0.0, ""avg"": 0.0, ""pct"": 0.0, ""standard"": """"}]"
2025-10-14,,,,,,,,,,3.0,1.0,,,,,,,,,,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,----20251014140410,,,,,,,,,,,,"[{""code"": ""e.g PC5.1"", ""title"": ""e.g Apply project management principles"", ""method"": ""e.g Scoring Rubrics"", ""students"": 10.0, ""avg"": 0.0, ""pct"": 0.0, ""standard"": ""> 3""}, {""code"": ""pc5.4"", ""title"": ""yes"", ""method"": ""test"", ""students"": 0.0, ""avg"": 0.0, ""pct"": 0.0, ""standard"": """"}]"
2025-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,----20251014140440,,,,,,,,,,,,"[{""code"": ""e.g PC5.1"", ""title"": ""e.g Apply project management principles"", ""method"": ""e.g Scoring Rubrics"", ""students"": 10, ""avg"": 0.0, ""pct"": 0, ""standard"": ""> 3""}]"
2025-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,----20251014140527,,,,,,,,,,,,"[{""code"": ""e.g PC5.1"", ""title"": ""e.g Apply project management principles"", ""method"": ""e.g Scoring Rubrics"", ""students"": 10, ""avg"": 0.0, ""pct"": 0, ""standard"": ""> 3""}]"
2025-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,----20251014140606,,,,,,,,,,,,"[{""code"": ""e.g PC5.1"", ""title"": ""e.g Apply project management principles"", ""method"": ""e.g Scoring Rubrics"", ""students"": 10, ""avg"": 0.0, ""pct"": 0, ""standard"": ""> 3""}]"
2025-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,----20251014140942,,,,,,,,,,,,"[{""code"": ""e.g PC5.1"", ""title"": ""e.g Apply project management principles"", ""method"": ""e.g Scoring Rubrics"", ""students"": 10, ""avg"": 0.0, ""pct"": 0, ""standard"": ""> 3""}]"
2025-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,----20251014141017,,,,,,,,,,,,"[{""code"": ""e.g PC5.1"", ""title"": ""e.g Apply project management principles"", ""method"": ""e.g Scoring Rubrics"", ""students"": 10, ""avg"": 0.0, ""pct"": 0, ""standard"": ""> 3""}]"
2025-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,----20251014141147,,,,,,,,,,,,"[{""code"": ""e.g PC5.1"", ""title"": ""e.g Apply project management principles"", ""method"": ""e.g Scoring Rubrics"", ""students"": 10, ""avg"": 0.0, ""pct"": 0, ""standard"": ""> 3""}]"
2025-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,----20251014141239,,,,,,,,,,,,"[{""code"": ""e.g PC5.1"", ""title"": ""e.g Apply project management principles"", ""method"": ""e.g Scoring Rubrics"", ""students"": 10, ""avg"": 0.0, ""pct"": 0, ""standard"": ""> 3""}]"
2025-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,----20251014141324,,,,,,,,,,,,"[{""code"": ""e.g PC5.1"", ""title"": ""e.g Apply project management principles"", ""method"": ""e.g Scoring Rubrics"", ""students"": 10, ""avg"": 0.0, ""pct"": 0, ""standard"": ""> 3""}]"
2025-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,----20251014142506,,,,,,,,,,,,"[{""code"": ""e.g PC5.1"", ""title"": ""e.g Apply project management principles"", ""method"": ""e.g Scoring Rubrics"", ""students"": 10, ""avg"": 0.0, ""pct"": 0, ""standard"": ""> 3""}]"
2025-10-14,CSC322 – Computer Organization Lab,,1,Haidar Harmanani,Spring 2021,Haidar Harmanani,17.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,1.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I like the course and what we do in it. The assessment through a Tiny CPU is an interesting exercise to the students that teaches them a lot.,,CMI-CSC322-N/A-Spring_2021-20251014142625,CMI,CSC322,Spring 2021,"Lectures were effective, but hands-on labs were not due to online delivery.",Proposed Improvement Actions: Lab was taught online. The students did all the labs online but no hardware was used.,The course used a bit of Python in addition to C. We also used a new device.,,Resources were satisfactory as additional boards were purchased.,,Students had a rough time with the use of the C language as this was their first experience with C and Linux.,,"[{""code"": ""PC2.2"", ""title"": ""Students shall demonstrate the ability to design, implement, and simulate a computer model based on an instruction set given a set of constraints"", ""method"": ""Embedded Assessment"", ""students"": 26, ""avg"": 75.98, ""pct"": 63, ""standard"": ""75% or equiv.""}]"
2025-10-14,CSC599: Capstone Project,,,Haidar Harmanani and Faisal Abu Khzam,Spring 2021,Ramzi A. Haraty,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Since students learn Software engineering principles and develop their capstone projects at the same time, then I move to suggest that the CSC490 course can be a co-requisite to CSC599 instead of a pre-requisite.",,CMI-599--Spring_2021-20251014142727,CMI,599,Spring 2021,Bi-weekly meetings,,Videos from the Internet,,Laboratory and student owned resources,,,,"[{""code"": ""PC1"", ""title"": ""Students shall demonstrate the ability to develop complex software solutions."", ""method"": ""Rubric"", ""students"": 2, ""avg"": 4.0, ""pct"": 100, ""standard"": ""> 3.2""}, {""code"": ""PC2"", ""title"": ""Students shall demonstrate the ability to analyze facts and identify appropriate algorithms and data structures to solve computational problems."", ""method"": ""Rubric"", ""students"": 1, ""avg"": 4.0, ""pct"": 100, ""standard"": ""> 3.2""}, {""code"": ""PC3"", ""title"": ""Students shall demonstrate the ability to design and implement a software system and identify goals and scope, searching for alternatives for achieving outcomes, choosing the best possible solutions, creating a proper computer model, analyzing, test and evaluate the recommended system, and justifying the final design."", ""method"": ""Rubric"", ""students"": 1, ""avg"": 4.0, ""pct"": 100, ""standard"": ""> 3.2""}]"
2025-10-14,CSC310 Algorithms & Data Structures,,3cr.,Dr. Faisal Abu Khzam,Fall 2019,Danielle Azar,0.0,1.0,0.0,3.0,2.0,4.0,4.0,1.0,3.0,0.0,3.0,0.0,,,0.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Students regularly seem to have issues with Dynamic Programming, and they find it hard. I recommend additional labs covering this topic. The issue of labs as well as the unrest in the country did not help the assessment results. I believe the assessment result is highly affected by the ups and downs that surrounded students. The topic is difficult and requires concentration and a lot of exercise which, obviously, students could not do and have this year.",,CMI-310--Fall_2019-20251014143111,CMI,310,Fall 2019,,,,"PC1.5: Students are finding Dynamic Programming hard. More labs covering this topic should be provided. PC1.6: The situation in the country did not allow to cover this topic in-depth. I believe the score is highly affected by the ups and downs that surrounded students. The topic is difficult and requires concentration and a lot of exercise which, obviously, students could not do and have this year.",,,,,"[{""code"": ""PC1.5"", ""title"": ""Students shall demonstrate an understanding of divide and conquer, greedy technique, and dynamic programming technique."", ""method"": ""Embedded Assessment"", ""students"": 22, ""avg"": 67.7, ""pct"": 62, ""standard"": ""70%""}, {""code"": ""PC1.6"", ""title"": ""Students will be able to demonstrate an understanding of P, NP and NP-complete classes and carry out some polynomial-time problem reductions."", ""method"": ""Embedded Assessment"", ""students"": 22, ""avg"": 60.0, ""pct"": 50, ""standard"": ""65%""}, {""code"": ""PC1.7"", ""title"": ""Students shall demonstrate an ability to analyze algorithms using asymptotic notations."", ""method"": ""Embedded Assessment"", ""students"": 22, ""avg"": 88.7, ""pct"": 91, ""standard"": ""70%""}]"
2025-10-14,CSC310 Algorithms and Data Structures,3.0,3cr.,Faisal Abu Khzam,Fall 2019,Faisal Abu Khzam,2.0,3.0,3.0,5.0,1.0,4.0,0.0,1.0,4.0,0.0,1.0,0.0,,,0.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I would like to bring back the earlier issue of consolidating the contents of CSC310 and MTH307 in addition to the need of more labs as this would help the learning process and subsequently the assessment process. We also need a solution for the hands-on labs in terms of space and teaching support as the number of grad students continue to dwindle.,,CMI-CSC310-3-Fall_2019-20251014143234,CMI,CSC310,Fall 2019,,,,"1.6 There is no need to dwell on complexity theory, being covered thoroughly in MTH307 (which covers automata theory and complexity theory).",,1.6 There is a constant need for qualified graduate teaching assistants to help with the labs. We need to allocate an adequate budget for lab instructors since the students benefit a lot from lab assignments.,,1.6 Need to move the assessment of this outcome to MTH307 where it is covered properly.,"[{""code"": ""PC1.5"", ""title"": ""Students shall demonstrate an understanding of divide and conquer, greedy technique, and dynamic programming technique."", ""method"": ""Embedded Assessment"", ""students"": 24, ""avg"": 75.0, ""pct"": 68, ""standard"": ""70%""}, {""code"": ""PC1.6"", ""title"": ""Students will be able to demonstrate an understanding of P, NP and NP-complete classes and carry out some polynomial-time problem reductions."", ""method"": ""Embedded Assessment"", ""students"": 24, ""avg"": 65.0, ""pct"": 55, ""standard"": ""70%""}, {""code"": ""PC1.7"", ""title"": ""Students shall demonstrate an ability to analyze algorithms using asymptotic notations."", ""method"": ""Embedded Assessment"", ""students"": 24, ""avg"": 78.0, ""pct"": 70, ""standard"": ""70%""}]"
2025-10-15,CSC322 – Computer Organization Lab,,1,Haidar Harmanani,Spring 2021,Haidar Harmanani,17.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,1.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I like the course and what we do in it. The assessment through a Tiny CPU is an interesting exercise to the students that teaches them a lot.,,-322-N/A-Spring_2021-20251015085447,,322,Spring 2021,"Lectures were effective, but hands-on labs were not due to online delivery.",Proposed Improvement Actions: Lab was taught online. The students did all the labs online but no hardware was used.,The course used a bit of Python in addition to C. We also used a new device.,,Resources were satisfactory as additional boards were purchased.,,"Although we did miss the target in assessment, it was not easy to teach a hardware lab online without the Boards.",,"[{""code"": ""PC2.2"", ""title"": ""Students shall demonstrate the ability to design, implement, and simulate, a computer model based on an instruction set given a set of constraints"", ""method"": ""Embedded Assessment"", ""students"": 26, ""avg"": 75.98, ""pct"": 63, ""standard"": ""75% or equiv.""}]"
2025-11-11,CSC310 Algorithms and Data Structures,3.0,3cr.,Faisal Abu Khzam,Fall 2019,Faisal Abu Khzam,2.0,3.0,3.0,5.0,1.0,4.0,0.0,1.0,4.0,0.0,1.0,0.0,,,0.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I would like to bring back the earlier issue of consolidating the contents of CSC310 and MTH307 in addition to the need of more labs as this would help the learning process and subsequently the assessment process. We also need a solution for the hands-on labs in terms of space and teaching support as the number of grad students continue to dwindle.,,-CSC310-3-Fall_2019-20251111102539,,CSC310,Fall 2019,,,,"1.6 There is no need to dwell on complexity theory, being covered thoroughly in MTH307 (which covers automata theory and complexity theory).",,1.6 There is a constant need for qualified graduate teaching assistants to help with the labs. We need to allocate an adequate budget for lab instructors since the students benefit a lot from lab assignments.,,1.6 Need to move the assessment of this outcome to MTH307 where it is covered properly.,"[{"" "": ""\ud83d\udfe1"", ""code"": ""PC1.5"", ""title"": ""Students shall demonstrate an understanding of divide and conquer, greedy technique, and dynamic programming technique."", ""method"": ""Embedded Assessment"", ""students"": 24.0, ""avg"": 75.0, ""pct"": 68.0, ""standard"": ""70%""}, {"" "": ""\ud83d\udd34"", ""code"": ""PC1.6"", ""title"": ""Students will be able to demonstrate an understanding of P, NP and NP-complete classes and carry out some polynomial-time problem reductions."", ""method"": ""Embedded Assessment"", ""students"": 24.0, ""avg"": 65.0, ""pct"": 55.0, ""standard"": ""70%""}, {"" "": ""\ud83d\udfe1"", ""code"": ""PC1.7"", ""title"": ""Students shall demonstrate an ability to analyze algorithms using asymptotic notations."", ""method"": ""Embedded Assessment"", ""students"": 24.0, ""avg"": 78.0, ""pct"": 70.0, ""standard"": ""70%""}, {"" "": ""\ud83d\udfe2"", ""code"": ""PC1.2"", ""title"": ""Students understand coding"", ""method"": ""Embedded"", ""students"": 30.0, ""avg"": 90.0, ""pct"": 90.0, ""standard"": ""80%""}]"
2025-12-09,POLIS123,Q,12,Judy,25,Judy,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,good lesson,,POLIS-POLIS123-Q-1-20251209124020,POLIS,POLIS123,1,good,,,bad,,,,,"[{"" "": ""\ud83d\udd34"", ""code"": ""e.g PC5.1"", ""title"": ""e.g Apply project management principles"", ""method"": ""e.g Scoring Rubrics"", ""students"": 10.0, ""avg"": 0.0, ""pct"": 0.0, ""standard"": ""> 3""}, {"" "": ""\ud83d\udd34"", ""code"": ""pc12"", ""title"": ""explain"", ""method"": """", ""students"": 0.0, ""avg"": 0.0, ""pct"": 0.0, ""standard"": """"}]"
